sure_no,sure_ismi,bolum,ayet_no,kaynak,ayet
2,Al-Baqarah,1,94,Kuran,say prophet eternal home hereafter allah exclusively israelites humanity wish death say true
2,Al-Baqarah,1,95,Kuran,never wish hand do allah perfect knowledge wrongdoers
2,Al-Baqarah,1,96,Kuran,surely find cling life eagerly people even polytheists one wish live thousand years even live long would save punishment allah
2,Al-Baqarah,1,97,Kuran,say prophet whoever enemy gabriel know reveal quran heart allahs confirm come ita guide good news believers
2,Al-Baqarah,1,98,Kuran,whoever enemy allah angels messengers gabriel michael let know allah certainly enemy disbelievers
2,Al-Baqarah,1,99,Kuran,indeed send prophet clear revelations none deny except rebellious
2,Al-Baqarah,1,100,Kuran,every time make covenant group cast aside fact believe
2,Al-Baqarah,1,101,Kuran,messenger allah come themconfirming scripturessome people book cast book allah behind back know
2,Al-Baqarah,1,102,Kuran,instead follow magic promote devil reign solomon never solomon disbelieve rather devil disbelieve teach magic people along reveal two angels hart mart babylon two angels never teach anyone without say test abandon faith yet people learn magic cause rift even husband wife although magic could harm anyone except allahs learn harm benefit themalthough already know whoever buy magic would share hereafter miserable indeed price sell souls know
2,Al-Baqarah,1,103,Kuran,faithful mindful allah would better reward allah know
2,Al-Baqarah,1,104,Kuran,believers say raina herd us say unurna tend us listen attentively disbelievers suffer painful punishment
2,Al-Baqarah,1,105,Kuran,disbelievers people book polytheists would want receive bless lord allah select whoever will mercy allah lord infinite bounty
2,Al-Baqarah,1,106,Kuran,ever abrogate verse cause forget replace better similar one know allah capable everything
2,Al-Baqarah,1,107,Kuran,know kingdom heavens earth belong allah guardian helper besides allah
2,Al-Baqarah,1,108,Kuran,believers intend ask messenger moses ask whoever trade belief disbelief truly stray right way
2,Al-Baqarah,1,109,Kuran,many among people book wish could turn believers back disbelief envy truth make clear pardon bear allah deliver decision surely allah capable everything
2,Al-Baqarah,1,110,Kuran,establish prayer pay whatever good send forth certainly find reward allah surely allah
2,Al-Baqarah,1,111,Kuran,jews christians claim none enter paradise except faith desire reply prophet show proof say true
2,Al-Baqarah,1,112,Kuran,whoever submit allah good reward lord fear grieve
2,Al-Baqarah,1,113,Kuran,jews say christians nothing stand christians say jews nothing stand although recite scriptures pagans knowledge say people faith surely allah judge day judgment regard dispute
2,Al-Baqarah,1,114,Kuran,wrong prevent allahs name mention place worship strive destroy people right enter place except fear disgrace world suffer tremendous punishment hereafter
2,Al-Baqarah,1,115,Kuran,allah belong east west wherever turn face towards allah
2,Al-Baqarah,1,116,Kuran,glory fact belong whatever heavens earthall subject
2,Al-Baqarah,1,117,Kuran,originator heavens earth decree matter simply tell
2,Al-Baqarah,1,118,Kuran,knowledge say allah would speak us sign would come us say come hearts alike indeed make sign clear people sure faith
2,Al-Baqarah,1,119,Kuran,surely send truth prophet deliverer good news warner accountable residents hellfire
2,Al-Baqarah,1,120,Kuran,never jews christians please follow faith say allahs guidance true guidance follow desire knowledge come would none protect help allah
2,Al-Baqarah,1,121,Kuran,give book follow follow truly believe reject losers
2,Al-Baqarah,1,122,Kuran,children israel remember favour upon honour others
2,Al-Baqarah,1,123,Kuran,guard day soul help another ransom take intercession accept help give
2,Al-Baqarah,1,124,Kuran,remember abraham test lord certain commandments fulfil allah say certainly make role model people abraham ask offspring allah reply covenant extend wrongdoers
2,Al-Baqarah,1,125,Kuran,remember make sacred house site prayer entrust abraham ishmael purify house circle meditate bow prostrate prayer
2,Al-Baqarah,1,126,Kuran,remember abraham say lord make city mecca secure provide fruit peoplethose among believe allah last day answer disbelieve let enjoy little condemn torment fire evil destination
2,Al-Baqarah,1,127,Kuran,remember abraham raise foundation house ishmael pray lord accept us indeed
2,Al-Baqarah,1,128,Kuran,lord make us fully submit descendants nation submit show us rituals turn us grace truly accepter repentance merciful
2,Al-Baqarah,1,129,Kuran,lord raise among messenger recite revelations teach book wisdom purify indeed alone almighty
2,Al-Baqarah,1,130,Kuran,would reject faith abraham except fool certainly choose life hereafter surely among righteous
2,Al-Baqarah,1,131,Kuran,lord order submit respond submit lord worlds
2,Al-Baqarah,1,132,Kuran,advice abrahamas well jacobto children say indeed allah choose faith die except state full submission
2,Al-Baqarah,1,133,Kuran,witness death come jacob ask children worship pass reply continue worship god god forefathersabraham ishmael isaacthe one god submit
2,Al-Baqarah,1,134,Kuran,community already go earn earn accountable do
2,Al-Baqarah,1,135,Kuran,jews christians say follow faith rightly guide say prophet follow faith abraham uprightwho polytheist
2,Al-Baqarah,1,136,Kuran,say believers believe allah reveal us reveal abraham ishmael isaac jacob descendants give moses jesus prophets lord make distinction allah submit
2,Al-Baqarah,1,137,Kuran,believe believe indeed rightly guide turn away simply oppose truth allah spare evil
2,Al-Baqarah,1,138,Kuran,natural way allah better allah ordain way worship none
2,Al-Baqarah,1,139,Kuran,say would dispute us allah lord lord accountable deeds devote alone
2,Al-Baqarah,1,140,Kuran,claim abraham ishmael isaac jacob descendants jews christians say knowledgeable allah wrong hide testimony receive allah allah never unaware
2,Al-Baqarah,1,141,Kuran,community already go earn earn accountable do
2,Al-Baqarah,2,142,Kuran,foolish among people ask turn away direction prayer use face say prophet east west belong allah guide whoever will straight path
2,Al-Baqarah,2,143,Kuran,make believers upright community may witness humanity messenger may witness assign former direction prayer distinguish would remain faithful messenger would lose faith certainly difficult test except rightly guide allah allah would never discount previous act faith surely allah ever gracious merciful humanity
2,Al-Baqarah,2,144,Kuran,indeed see prophet turn face towards heaven make turn towards direction prayer please turn face towards sacred mosque meccawherever turn face towards give scripture certainly know truth lord allah never unaware
2,Al-Baqarah,2,145,Kuran,even bring every proof people book would accept direction prayer would accept would accept direction prayer another follow desire knowledge come would certainly one wrongdoers
2,Al-Baqarah,2,146,Kuran,give scripture recognize prophet recognize children yet group hide truth knowingly
2,Al-Baqarah,2,147,Kuran,truth lord ever one doubt
2,Al-Baqarah,2,148,Kuran,everyone turn direction prayer compete one another good wherever allah bring together judgment surely allah capable everything
2,Al-Baqarah,2,149,Kuran,wherever prophet turn face towards sacred mosque certainly truth lord allah never unaware
2,Al-Baqarah,2,150,Kuran,wherever prophet turn face towards sacred mosque wherever believers face towards people argument except wrongdoers among fear fear may continue perfect favour upon may rightly guide
2,Al-Baqarah,2,151,Kuran,since send messenger among yourselvesreciting revelations purify teach book wisdom teach never know
2,Al-Baqarah,2,152,Kuran,remember remember thank never ungrateful
2,Al-Baqarah,2,153,Kuran,believers seek comfort patience prayer allah truly patient
2,Al-Baqarah,2,154,Kuran,never say martyr cause allah deadin fact alive perceive
2,Al-Baqarah,2,155,Kuran,certainly test touch fear famine loss property life crop give good news patiently endure
2,Al-Baqarah,2,156,Kuran,face disaster say surely allah belong return
2,Al-Baqarah,2,157,Kuran,ones receive allahs bless mercy rightly guide
2,Al-Baqarah,2,158,Kuran,indeed hill safa marwah let walk two hill whoever good willingly allah truly appreciative
2,Al-Baqarah,2,159,Kuran,hide clear proof guidance revealedafter make clear humanity bookwill condemn allah condemn
2,Al-Baqarah,2,160,Kuran,repent mend ways let truth know ones turn forgiveness accepter repentance merciful
2,Al-Baqarah,2,161,Kuran,surely disbelieve die disbelievers condemn allah angels humanity
2,Al-Baqarah,2,162,Kuran,hell forever punishment lighten delay
2,Al-Baqarah,2,163,Kuran,god one god god worthy worship except himthe compassionate merciful
2,Al-Baqarah,2,164,Kuran,indeed creation heavens earth alternation day night ship sail sea benefit humanity rain send allah sky revive earth death scatter kinds creatures throughout shift wind cloud drift heavens earthin surely sign people understand
2,Al-Baqarah,2,165,Kuran,still take others allahs equalthey love love allahbut true believers love allah even wrongdoers could see horrible punishment await would certainly realize power belong allah allah indeed severe punishment
2,Al-Baqarah,2,166,Kuran,consider day mislead others disown followerswhen face tormentand bond unite cut
2,Al-Baqarah,2,167,Kuran,mislead followers cry could second chance would disown disown us allah make remorseful misdeeds never able leave fire
2,Al-Baqarah,2,168,Kuran,humanity eat lawful good earth follow satans footsteps truly swear enemy
2,Al-Baqarah,2,169,Kuran,incite commit evil indecency claim allah know
2,Al-Baqarah,2,170,Kuran,say follow allah reveal reply follow find forefathers practice would still even forefathers absolutely understand guidance
2,Al-Baqarah,2,171,Kuran,example disbelievers respond messengers warn like flock comprehend call cry shepherd wilfully deaf dumb blind understand
2,Al-Baqarah,2,172,Kuran,believers eat good things provide give thank allah truly worship alone
2,Al-Baqarah,2,173,Kuran,forbid eat carrion blood swine slaughter name allah someone compel necessityneither drive desire exceed immediate needthey sinful surely allah merciful
2,Al-Baqarah,2,174,Kuran,indeed hide allahs revelations trade fleet gain consume nothing fire belly allah neither speak day judgment purify suffer painful punishment
2,Al-Baqarah,2,175,Kuran,ones trade guidance misguidance forgiveness punishment persistent pursuit fire
2,Al-Baqarah,2,176,Kuran,allah reveal book truth surely differ regard totally engross opposition
2,Al-Baqarah,2,177,Kuran,righteousness turn face towards east west rather righteous believe allah last day angels book prophets give charity cherish wealth relatives orphan poor needy travellers beggar free captives establish prayer pay keep pledge make patient time suffer adversity heat battle true faith mindful allah
2,Al-Baqarah,2,178,Kuran,believers law retaliation set case murdera free man free man slave slave female female payment make courteously concession mercy lord whoever transgress suffer painful punishment
2,Al-Baqarah,2,179,Kuran,security life law retaliation people reason may become mindful allah
2,Al-Baqarah,2,180,Kuran,prescribe death approach youif leave something valuea make favour parent immediate family fairness obligation mindful allah
2,Al-Baqarah,2,181,Kuran,whoever change hear blame make change indeed allah
2,Al-Baqarah,2,182,Kuran,whoever suspect error injustice bring fair settlement among party sinful surely allah merciful
2,Al-Baqarah,2,183,Kuran,believers fast prescribe youas youso perhaps become mindful allah
2,Al-Baqarah,2,184,Kuran,fast prescribe number days compensation make feed needy person every day fast whoever volunteer give better fast better know
2,Al-Baqarah,2,185,Kuran,ramaan month quran reveal guide humanity clear proof guidance standard distinguish right wrong whoever present month let fast whoever ill journey let fast equal number days ramaan allah intend ease hardship may complete prescribe period proclaim greatness allah guide perhaps grateful
2,Al-Baqarah,2,186,Kuran,servants ask prophet truly near respond ones prayer call upon let respond obedience believe perhaps guide right way
2,Al-Baqarah,2,187,Kuran,make permissible intimate wive nights precede fast spouses garment may eat drink see light dawn break darkness night complete fast nightfall intimate spouses meditate mosques limit set allah exceed allah make revelations clear people may become mindful
2,Al-Baqarah,2,188,Kuran,consume one anothers wealth unjustly deliberately bribe authorities order devour portion others property know sin
2,Al-Baqarah,2,189,Kuran,ask prophet phase moon say mean people determine time pilgrimage righteousness enter house back doors rather righteousness mindful allah enter home proper doors mindful allah may successful
2,Al-Baqarah,2,190,Kuran,fight cause allah wage war exceed limit allah like transgressors
2,Al-Baqarah,2,191,Kuran,kill wherever come upon far worse kill fight sacred mosque unless attack fight themthat reward disbelievers
2,Al-Baqarah,2,192,Kuran,cease surely allah merciful
2,Al-Baqarah,2,193,Kuran,fight persecute persecution devotion allah alone stop persecute let hostility except aggressors
2,Al-Baqarah,2,194,Kuran,retaliation sacred month offence sacred month violations bring retaliation anyone attack retaliate manner mindful allah know allah mindful
2,Al-Baqarah,2,195,Kuran,spend cause allah let hand throw destruction withhold good allah certainly love
2,Al-Baqarah,2,196,Kuran,complete pilgrimage minor pilgrimage allah prevent proceed offer whatever sacrificial animals afford shave head sacrificial animal reach destination ill scalp ailment require shave compensate either fast charity sacrificial offer time peace may combine pilgrimage minor pilgrimage make sacrificial offer afford whoever afford offer let fast three days pilgrimage seven return homecompleting ten offer live near sacred house mindful allah know allah severe punishment
2,Al-Baqarah,2,197,Kuran,commitment pilgrimage make appoint months whoever commit perform pilgrimage let stay away intimate relations foul language arguments pilgrimage whatever good allah fully know take necessary provision journeysurely best provision righteousness mindful people reason
2,Al-Baqarah,2,198,Kuran,blame seek bounty lord journey praise guide surely guidance astray
2,Al-Baqarah,2,199,Kuran,go forth rest pilgrims seek allahs forgiveness surely allah merciful
2,Al-Baqarah,2,200,Kuran,fulfil sacred rites praise allah use praise forefathers islam even passionately say lord grant us bounties world share hereafter
2,Al-Baqarah,2,201,Kuran,yet others say lord grant us good world hereafter protect us torment fire
2,Al-Baqarah,2,202,Kuran,receive heavenly reward good do surely allah swift reckon
2,Al-Baqarah,2,203,Kuran,remember allah appoint days whoever depart swiftly second day sinful neither stay behind till thirdseeking additional reward long mindful lord mindful allah know gather
2,Al-Baqarah,2,204,Kuran,hypocrites impress view regard worldly affairs openly call upon allah witness hearts yet worst adversaries
2,Al-Baqarah,2,205,Kuran,leave strive throughout land spread mischief destroy crop cattle allah like mischief
2,Al-Baqarah,2,206,Kuran,say fear allah pride carry sin hell proper place evil place rest
2,Al-Baqarah,2,207,Kuran,would dedicate live allahs pleasure allah ever gracious servants
2,Al-Baqarah,2,208,Kuran,believers enter islam wholeheartedly follow satans footsteps surely swear enemy
2,Al-Baqarah,2,209,Kuran,falter receive clear proof know allah indeed almighty
2,Al-Baqarah,2,210,Kuran,wait allah come shade cloud along angels matter would settle allah matter return judgment
2,Al-Baqarah,2,211,Kuran,ask children israel many clear sign give whoever trade allahs favourafter receive itfor disbelief know allah indeed severe punishment
2,Al-Baqarah,2,212,Kuran,life world make appeal disbelievers mock believers mindful allah rank day judgment allah provide whoever will without limit
2,Al-Baqarah,2,213,Kuran,humanity one community believers lose faith allah raise prophets deliverers good news warners reveal scriptures truth judge among people regard dispute one dispute scriptures except people receive clear proof come themout jealousy allah grace guide believers truth regard dispute allah guide whoever will straight path
2,Al-Baqarah,2,214,Kuran,think admit paradise without test like afflict suffer adversity violently shake even messenger believers cry allahs help come indeed allahs help always near
2,Al-Baqarah,2,215,Kuran,ask prophet way donate say whatever donations give parent relatives orphan poor needy travellers whatever good certainly well know allah
2,Al-Baqarah,2,216,Kuran,fight make obligatory upon believers though dislike perhaps dislike something good like something bad allah know know
2,Al-Baqarah,2,217,Kuran,
2,Al-Baqarah,2,218,Kuran,surely believe emigrate struggle way allahthey hope allahs mercy allah merciful
2,Al-Baqarah,2,219,Kuran,ask prophet intoxicants gamble say great evil well benefit peoplebut evil outweigh benefit also ask prophet donate say whatever spare allah make revelations clear believers perhaps may reflect
2,Al-Baqarah,2,220,Kuran,upon world hereafter ask prophet concern orphan say improve condition best partner bond faith surely allah almighty
2,Al-Baqarah,2,221,Kuran,marry polytheistic women believe believe better free polytheist even though may look pleasant marry women polytheistic men believe believe better free polytheist even though may look pleasant invite fire allah invite paradise forgiveness grace make revelations clear people perhaps mindful
2,Al-Baqarah,2,222,Kuran,ask prophet menstruation say beware harm keep away intercourse wive monthly cycle purify purify may approach manner specify allah surely allah love always turn repentance purify
2,Al-Baqarah,2,223,Kuran,wive like farmland mindful allah know meet give good news believers
2,Al-Baqarah,2,224,Kuran,use allahs name oaths excuse good guard evil make peace people allah
2,Al-Baqarah,2,225,Kuran,allah hold accountable unintentional oaths intend hearts allah forbear
2,Al-Baqarah,2,226,Kuran,swear intercourse wive must wait four months change mind allah certainly merciful
2,Al-Baqarah,2,227,Kuran,settle divorce allah indeed
2,Al-Baqarah,2,228,Kuran,divorce women must wait three monthly cycle lawful conceal allah create wombs truly believe allah last day husband reserve right take back within period desire reconciliation women right similar men equitably although men degree responsibility allah almighty
2,Al-Baqarah,2,229,Kuran,divorce may retract twice husband must retain wife honour separate grace limit set allah transgress whoever transgress limit allah true wrongdoers
2,Al-Baqarah,2,230,Kuran,husband divorce wife three time lawful remarry marry another man divorce permissible reunite long feel able maintain limit allah limit set allah make clear people knowledge
2,Al-Baqarah,2,231,Kuran,divorce women almost reach end wait period either retain honourably let go honourably retain harm take advantage whoever surely wrong soul take allahs revelations lightly remember allahs favour upon well book wisdom send guidance mindful allah know allah perfect knowledge things
2,Al-Baqarah,2,232,Kuran,divorce women reach end wait period prevent come honourable agreement enjoin whoever faith allah last day purer dignify allah know know
2,Al-Baqarah,2,233,Kuran,divorce mother breastfeed offspring two whole years wish complete nurse child childs father provide reasonable maintenance clothe mother period one charge bear mother father make suffer child father heirs obligation side decideafter mutual consultation consentto wean child blame decide children nurse permissible long pay fairly mindful allah know allah
2,Al-Baqarah,2,234,Kuran,die leave widow behind let observe wait period four months ten days reach end period accountable decide reasonable manner allah
2,Al-Baqarah,2,235,Kuran,blame subtly show interest divorce widow women hide intention hearts allah know consider marriage make secret commitment themyou show interest appropriately commit bond marriage wait period expire know allah aware hearts beware know allah forbear
2,Al-Baqarah,2,236,Kuran,blame divorce women marriage consummate dowry settle give suitable compensationthe rich accord mean poor accord reasonable compensation obligation
2,Al-Baqarah,2,237,Kuran,divorce consummate marriage decide dowry pay half dowry unless wife graciously waive husband graciously pay full graciousness closer righteousness forget kindness among surely allah
2,Al-Baqarah,2,238,Kuran,observe five obligatory prayersespecially middle prayerand stand true devotion allah
2,Al-Baqarah,2,239,Kuran,danger pray foot rid safe take time remember allah teach know
2,Al-Baqarah,2,240,Kuran,die leave widow bequeath years maintenance without force choose leave accountable reasonably decide allah almighty
2,Al-Baqarah,2,241,Kuran,reasonable provision must make divorce womena duty mindful allah
2,Al-Baqarah,2,242,Kuran,allah make revelations clear perhaps understand
2,Al-Baqarah,2,243,Kuran,prophet see flee home thousands fear death allah say die give life surely allah ever bountiful humanity people ungrateful
2,Al-Baqarah,2,244,Kuran,fight cause allah know allah
2,Al-Baqarah,2,245,Kuran,lend allah good loan allah multiply many time allah alone decrease increase wealth return
2,Al-Baqarah,2,246,Kuran,see chiefs children israel moses say one prophets appoint us king fight cause allah say go cower order fight reply could refuse fight cause allah drive home separate children order fight flee except allah perfect knowledge wrongdoers
2,Al-Baqarah,2,247,Kuran,prophet tell allah appoint saul king protest king us deserve kingship bless vast riches reply allah choose bless knowledge stature allah grant kingship whoever will allah
2,Al-Baqarah,2,248,Kuran,prophet tell sign sauls kingship ark come youcontaining reassurance carry angels surely sign truly believe
2,Al-Baqarah,2,249,Kuran,saul march forth army caution allah test river whoever drink fill whoever taste itexcept sip hollow handsis definitely drink fill except remain faithful cross river say match goliath warriors believers certain would meet allah reason many time small force vanquish mighty army allah allah always steadfast
2,Al-Baqarah,2,250,Kuran,advance face goliath warriors pray lord shower us perseverance make step firm give us victory disbelieve people
2,Al-Baqarah,2,251,Kuran,defeat allahs david kill goliath allah bless david kingship wisdom teach will allah repel group people might another corruption would dominate earth allah gracious
2,Al-Baqarah,2,252,Kuran,allahs revelations recite prophet truth truly one messengers
2,Al-Baqarah,3,253,Kuran,choose messengers others allah will succeed generations would fight among receive clear proof differedsome believe others disbelieve yet allah will would fight one another allah will
2,Al-Baqarah,3,254,Kuran,believers donate provide arrival day bargain intercession disbelieve truly wrongdoers
