sure_no,sure_ismi,bolum,ayet_no,kaynak,ayet
2,Al-Baqarah,1,28,Kuran,deni allah lifeless gave life caus die bring life return
2,Al-Baqarah,1,29,Kuran,one creat everyth earth turn toward heaven form seven heaven perfect knowledg thing
2,Al-Baqarah,1,30,Kuran,rememb lord said angel go place success human author earth ask allah place someon spread corrupt shed blood glorifi prais proclaim holi allah respond know know
2,Al-Baqarah,1,31,Kuran,taught adam name thing present angel said tell name say true
2,Al-Baqarah,1,32,Kuran,repli glori knowledg except taught us truli
2,Al-Baqarah,1,33,Kuran,allah said adam inform name adam allah said tell know secret heaven earth know reveal conceal
2,Al-Baqarah,1,34,Kuran,rememb said angel prostrat adam becom unfaith
2,Al-Baqarah,1,35,Kuran,caution adam live wife paradis eat freeli pleas approach tree els wrongdoer
2,Al-Baqarah,1,36,Kuran,satan deceiv themlead fall bliss state find earth resid provis appoint stay
2,Al-Baqarah,1,37,Kuran,adam inspir word prayer lord accept repent sure accept repent merci
2,Al-Baqarah,1,38,Kuran,said descend guidanc come whoever follow fear griev
2,Al-Baqarah,1,39,Kuran,disbeliev deni sign resid fire forev
2,Al-Baqarah,1,40,Kuran,children israel rememb favour upon fulfil coven fulfil mine stand awe alon
2,Al-Baqarah,1,41,Kuran,believ revel confirm scriptur mind
2,Al-Baqarah,1,42,Kuran,mix truth falsehood hide truth know
2,Al-Baqarah,1,43,Kuran,establish prayer pay bow bow
2,Al-Baqarah,1,44,Kuran,preach righteous fail practic although read scriptur understand
2,Al-Baqarah,1,45,Kuran,seek help patienc prayer inde burden except humbl
2,Al-Baqarah,1,46,Kuran,certain meet lord return
2,Al-Baqarah,1,47,Kuran,children israel rememb favour grant honour other
2,Al-Baqarah,1,48,Kuran,guard day soul help anoth intercess accept ransom taken help given
2,Al-Baqarah,1,49,Kuran,rememb deliv peopl pharaoh afflict dread torment slaughter son keep women sever test lord
2,Al-Baqarah,1,50,Kuran,rememb part sea rescu drown pharaoh peopl eye
2,Al-Baqarah,1,51,Kuran,rememb appoint forti night mose worship calf absenc act wrong
2,Al-Baqarah,1,52,Kuran,even still forgav perhap would grate
2,Al-Baqarah,1,53,Kuran,rememb gave mose scriptureth standard distinguish right wrong perhap would right guid
2,Al-Baqarah,1,54,Kuran,rememb mose said peopl peopl sure wrong worship calf turn repent creator execut among best sight creator accept repent sure accept repent merci
2,Al-Baqarah,1,55,Kuran,rememb said mose never believ see allah eye thunderbolt struck look
2,Al-Baqarah,1,56,Kuran,brought back life death perhap would grate
2,Al-Baqarah,1,57,Kuran,rememb shade cloud sent manna quail say eat good thing provid evildo certain wrong us wrong
2,Al-Baqarah,1,58,Kuran,rememb said enter citi eat freeli wherev pleas enter gate humil say absolv us forgiv sin multipli reward
2,Al-Baqarah,1,59,Kuran,wrongdoer chang word command say sent punish heaven upon rebelli
2,Al-Baqarah,1,60,Kuran,rememb mose pray water peopl said strike rock staff twelv spring gush tribe knew drink place said eat drink allah provis go spread corrupt land
2,Al-Baqarah,1,61,Kuran,rememb said mose endur meal everi day call upon lord behalf bring forth us earth produc herb cucumb garlic lentil onion mose scold exchang better wors go villag find ask stricken disgrac miseri invit displeasur allah reject allah sign unjust kill prophet fair reward disobedi violat
2,Al-Baqarah,1,62,Kuran,inde believ jew christian sabian
2,Al-Baqarah,1,63,Kuran,rememb took coven rais mountain say hold firm scriptur given observ teach perhap becom mind allah
2,Al-Baqarah,1,64,Kuran,yet turn away afterward allah grace merci upon would certain loser
2,Al-Baqarah,1,65,Kuran,alreadi awar broke sabbath said disgrac ape
2,Al-Baqarah,1,66,Kuran,made fate exampl present futur generat lesson
2,Al-Baqarah,1,67,Kuran,rememb mose said peopl allah command sacrific cow repli mock us mose respond seek refug allah act foolish
2,Al-Baqarah,1,68,Kuran,said call upon lord clarifi us type cow repli allah say cow neither old young command
2,Al-Baqarah,1,69,Kuran,said call upon lord specifi us colour repli allah say bright yellow cowpleas see
2,Al-Baqarah,1,70,Kuran,said call upon lord may make clear us cow cow look us allah will guid right one
2,Al-Baqarah,1,71,Kuran,repli allah say use neither till soil water field wholesom without blemish said come truth yet still slaughter hesit
2,Al-Baqarah,1,72,Kuran,man kill disput killer allah reveal conceal
2,Al-Baqarah,1,73,Kuran,instruct strike dead bodi piec cow easili allah bring dead life show sign may understand
2,Al-Baqarah,1,74,Kuran,even heart becam harden like rock even harder rock gush river other split spill water other humbl awe allah allah never unawar
2,Al-Baqarah,1,75,Kuran,believ still expect true though group would hear word allah know corrupt understand
2,Al-Baqarah,1,76,Kuran,meet believ say believ privat say disclos believ knowledg allah reveal may use lord understand
2,Al-Baqarah,1,77,Kuran,know allah awar conceal reveal
2,Al-Baqarah,1,78,Kuran,among illiter know noth scriptur except lie wish specul
2,Al-Baqarah,1,79,Kuran,woe distort scriptur hand say allahseek fleet gain woe hand written woe earn
2,Al-Baqarah,1,80,Kuran,jew claim fire touch us except number day say prophet taken pledg allahfor allah never break wordor say allah know
2,Al-Baqarah,1,81,Kuran,commit evil engross sin resid fire forev
2,Al-Baqarah,1,82,Kuran,believ good resid paradis forev
2,Al-Baqarah,1,83,Kuran,rememb took coven children israel state worship none allah kind parent relat orphan needi speak kind peopl establish prayer pay israelit turn awayexcept youand indiffer
2,Al-Baqarah,1,84,Kuran,rememb took coven would neither shed other blood expel home gave pledg bore wit
2,Al-Baqarah,1,85,Kuran,kill expel peopl home aid one anoth sin aggress expel come captiv still ransom themthough expel unlaw believ scriptur reject rest reward among disgrac world life subject harshest punish day judgment allah never unawar
2,Al-Baqarah,1,86,Kuran,one trade hereaft life world punish reduc help
2,Al-Baqarah,1,87,Kuran,inde gave mose book sent success messeng gave jesus son mari clear proof support holi spirit everi time messeng come israelit someth like becom arrog reject kill other
2,Al-Baqarah,1,88,Kuran,say heart unrecept fact allah condemn disbelief littl faith
2,Al-Baqarah,1,89,Kuran,although use pray victori mean prophet polytheist confirm scriptur hand reject may allah condemn upon disbeliev
2,Al-Baqarah,1,90,Kuran,miser price sold soul fordeni allah revel resent allah grant grace whoever will servant earn wrath upon wrath disbeliev suffer humili punish
2,Al-Baqarah,1,91,Kuran,said believ allah reveal repli believ sent us deni came afterward though truth confirm scriptur ask prophet kill allah prophet truli believ
2,Al-Baqarah,1,92,Kuran,inde mose came clear proof worship calf absenc act wrong
2,Al-Baqarah,1,93,Kuran,took coven rais mountain say hold firm scriptur given obey answer hear disobey love calf root heart disbelief say prophet evil belief prompt actual believ torah
2,Al-Baqarah,1,94,Kuran,say prophet etern home hereaft allah exclus israelit human wish death say true
2,Al-Baqarah,1,95,Kuran,never wish hand done allah perfect knowledg wrongdoer
2,Al-Baqarah,1,96,Kuran,sure find cling life eager peopl even polytheist one wish live thousand year even live long would save punish allah
2,Al-Baqarah,1,97,Kuran,say prophet whoever enemi gabriel know reveal quran heart allah confirm came ita guid good news believ
2,Al-Baqarah,1,98,Kuran,whoever enemi allah angel messeng gabriel michael let know allah certain enemi disbeliev
2,Al-Baqarah,1,99,Kuran,inde sent prophet clear revel none deni except rebelli
2,Al-Baqarah,1,100,Kuran,everi time make coven group cast asid fact believ
2,Al-Baqarah,1,101,Kuran,messeng allah come themconfirm scripturessom peopl book cast book allah behind back know
2,Al-Baqarah,1,102,Kuran,instead follow magic promot devil reign solomon never solomon disbeliev rather devil disbeliev taught magic peopl along reveal two angel hart mart babylon two angel never taught anyon without say test abandon faith yet peopl learn magic caus rift even husband wife although magic could harm anyon except allah learn harm benefit themalthough alreadi knew whoever buy magic would share hereaft miser inde price sold soul knew
2,Al-Baqarah,1,103,Kuran,faith mind allah would better reward allah knew
2,Al-Baqarah,1,104,Kuran,believ say raina herd us say unurna tend us listen attent disbeliev suffer pain punish
2,Al-Baqarah,1,105,Kuran,disbeliev peopl book polytheist would want receiv bless lord allah select whoever will merci allah lord infinit bounti
2,Al-Baqarah,1,106,Kuran,ever abrog vers caus forgotten replac better similar one know allah capabl everyth
2,Al-Baqarah,1,107,Kuran,know kingdom heaven earth belong allah guardian helper besid allah
2,Al-Baqarah,1,108,Kuran,believ intend ask messeng mose ask whoever trade belief disbelief truli stray right way
2,Al-Baqarah,1,109,Kuran,mani among peopl book wish could turn believ back disbelief envi truth made clear pardon bear allah deliv decis sure allah capabl everyth
2,Al-Baqarah,1,110,Kuran,establish prayer pay whatev good send forth certain find reward allah sure allah
2,Al-Baqarah,1,111,Kuran,jew christian claim none enter paradis except faith desir repli prophet show proof say true
2,Al-Baqarah,1,112,Kuran,whoever submit allah good reward lord fear griev
2,Al-Baqarah,1,113,Kuran,jew say christian noth stand christian say jew noth stand although recit scriptur pagan knowledg say peopl faith sure allah judg day judgment regard disput
2,Al-Baqarah,1,114,Kuran,wrong prevent allah name mention place worship strive destroy peopl right enter place except fear disgrac world suffer tremend punish hereaft
2,Al-Baqarah,1,115,Kuran,allah belong east west wherev turn face toward allah
2,Al-Baqarah,1,116,Kuran,glori fact belong whatev heaven earthal subject
2,Al-Baqarah,1,117,Kuran,origin heaven earth decre matter simpli tell
2,Al-Baqarah,1,118,Kuran,knowledg say allah would speak us sign would come us said came heart alik inde made sign clear peopl sure faith
2,Al-Baqarah,1,119,Kuran,sure sent truth prophet deliver good news warner account resid hellfir
2,Al-Baqarah,1,120,Kuran,never jew christian pleas follow faith say allah guidanc true guidanc follow desir knowledg come would none protect help allah
2,Al-Baqarah,1,121,Kuran,given book follow follow truli believ reject loser
2,Al-Baqarah,1,122,Kuran,children israel rememb favour upon honour other
2,Al-Baqarah,1,123,Kuran,guard day soul help anoth ransom taken intercess accept help given
2,Al-Baqarah,1,124,Kuran,rememb abraham test lord certain command fulfil allah said certain make role model peopl abraham ask offspr allah repli coven extend wrongdoer
2,Al-Baqarah,1,125,Kuran,rememb made sacr hous site prayer entrust abraham ishmael purifi hous circl medit bow prostrat prayer
2,Al-Baqarah,1,126,Kuran,rememb abraham said lord make citi mecca secur provid fruit peoplethos among believ allah last day answer disbeliev let enjoy littl condemn torment fire evil destin
2,Al-Baqarah,1,127,Kuran,rememb abraham rais foundat hous ishmael pray lord accept us inde
2,Al-Baqarah,1,128,Kuran,lord make us fulli submit descend nation submit show us ritual turn us grace truli accept repent merci
2,Al-Baqarah,1,129,Kuran,lord rais among messeng recit revel teach book wisdom purifi inde alon almighti
2,Al-Baqarah,1,130,Kuran,would reject faith abraham except fool certain chose life hereaft sure among righteous
2,Al-Baqarah,1,131,Kuran,lord order submit respond submit lord world
2,Al-Baqarah,1,132,Kuran,advic abrahama well jacobto children say inde allah chosen faith die except state full submiss
2,Al-Baqarah,1,133,Kuran,wit death came jacob ask children worship pass repli continu worship god god forefathersabraham ishmael isaacth one god submit
2,Al-Baqarah,1,134,Kuran,communiti alreadi gone earn earn account done
2,Al-Baqarah,1,135,Kuran,jew christian say follow faith right guid say prophet follow faith abraham uprightwho polytheist
2,Al-Baqarah,1,136,Kuran,say believ believ allah reveal us reveal abraham ishmael isaac jacob descend given mose jesus prophet lord make distinct allah submit
2,Al-Baqarah,1,137,Kuran,believ believ inde right guid turn away simpli oppos truth allah spare evil
2,Al-Baqarah,1,138,Kuran,natur way allah better allah ordain way worship none
2,Al-Baqarah,1,139,Kuran,say would disput us allah lord lord account deed devot alon
2,Al-Baqarah,1,140,Kuran,claim abraham ishmael isaac jacob descend jew christian say knowledg allah wrong hide testimoni receiv allah allah never unawar
2,Al-Baqarah,1,141,Kuran,communiti alreadi gone earn earn account done
2,Al-Baqarah,2,142,Kuran,foolish among peopl ask turn away direct prayer use face say prophet east west belong allah guid whoever will straight path
2,Al-Baqarah,2,143,Kuran,made believ upright communiti may wit human messeng may wit assign former direct prayer distinguish would remain faith messeng would lose faith certain difficult test except right guid allah allah would never discount previous act faith sure allah ever gracious merci human
2,Al-Baqarah,2,144,Kuran,inde see prophet turn face toward heaven make turn toward direct prayer pleas turn face toward sacr mosqu meccawherev turn face toward given scriptur certain know truth lord allah never unawar
2,Al-Baqarah,2,145,Kuran,even bring everi proof peopl book would accept direct prayer would accept would accept direct prayer anoth follow desir knowledg come would certain one wrongdoer
2,Al-Baqarah,2,146,Kuran,given scriptur recogn prophet recogn children yet group hide truth know
2,Al-Baqarah,2,147,Kuran,truth lord ever one doubt
2,Al-Baqarah,2,148,Kuran,everyon turn direct prayer compet one anoth good wherev allah bring togeth judgment sure allah capabl everyth
2,Al-Baqarah,2,149,Kuran,wherev prophet turn face toward sacr mosqu certain truth lord allah never unawar
2,Al-Baqarah,2,150,Kuran,wherev prophet turn face toward sacr mosqu wherev believ face toward peopl argument except wrongdoer among fear fear may continu perfect favour upon may right guid
2,Al-Baqarah,2,151,Kuran,sinc sent messeng among yourselvesrecit revel purifi teach book wisdom teach never knew
2,Al-Baqarah,2,152,Kuran,rememb rememb thank never ungrat
2,Al-Baqarah,2,153,Kuran,believ seek comfort patienc prayer allah truli patient
2,Al-Baqarah,2,154,Kuran,never say martyr caus allah deadin fact aliv perceiv
2,Al-Baqarah,2,155,Kuran,certain test touch fear famin loss properti life crop give good news patient endur
2,Al-Baqarah,2,156,Kuran,face disast say sure allah belong return
2,Al-Baqarah,2,157,Kuran,one receiv allah bless merci right guid
2,Al-Baqarah,2,158,Kuran,inde hill safa marwah let walk two hill whoever good will allah truli appreci
2,Al-Baqarah,2,159,Kuran,hide clear proof guidanc revealedaft made clear human bookwil condemn allah condemn
2,Al-Baqarah,2,160,Kuran,repent mend way let truth known one turn forgiv accept repent merci
2,Al-Baqarah,2,161,Kuran,sure disbeliev die disbeliev condemn allah angel human
2,Al-Baqarah,2,162,Kuran,hell forev punish lighten delay
2,Al-Baqarah,2,163,Kuran,god one god god worthi worship except himth compassion merci
2,Al-Baqarah,2,164,Kuran,inde creation heaven earth altern day night ship sail sea benefit human rain sent allah sky reviv earth death scatter kind creatur throughout shift wind cloud drift heaven earthin sure sign peopl understand
2,Al-Baqarah,2,165,Kuran,still take other allah equalthey love love allahbut true believ love allah even wrongdoer could see horribl punish await would certain realiz power belong allah allah inde sever punish
2,Al-Baqarah,2,166,Kuran,consid day misl other disown followerswhen face tormentand bond unit cut
2,Al-Baqarah,2,167,Kuran,misl follow cri could second chanc would disown disown us allah make remors misde never abl leav fire
2,Al-Baqarah,2,168,Kuran,human eat law good earth follow satan footstep truli sworn enemi
2,Al-Baqarah,2,169,Kuran,incit commit evil indec claim allah know
2,Al-Baqarah,2,170,Kuran,said follow allah reveal repli follow found forefath practic would still even forefath absolut understand guidanc
2,Al-Baqarah,2,171,Kuran,exampl disbeliev respond messeng warn like flock comprehend call cri shepherd wil deaf dumb blind understand
2,Al-Baqarah,2,172,Kuran,believ eat good thing provid give thank allah truli worship alon
2,Al-Baqarah,2,173,Kuran,forbidden eat carrion blood swine slaughter name allah someon compel necessityneith driven desir exceed immedi needthey sin sure allah merci
2,Al-Baqarah,2,174,Kuran,inde hide allah revel trade fleet gain consum noth fire belli allah neither speak day judgment purifi suffer pain punish
2,Al-Baqarah,2,175,Kuran,one trade guidanc misguid forgiv punish persist pursuit fire
2,Al-Baqarah,2,176,Kuran,allah reveal book truth sure differ regard total engross opposit
2,Al-Baqarah,2,177,Kuran,righteous turn face toward east west rather righteous believ allah last day angel book prophet give chariti cherish wealth relat orphan poor needi travel beggar free captiv establish prayer pay keep pledg make patient time suffer advers heat battl true faith mind allah
2,Al-Baqarah,2,178,Kuran,believ law retali set case murdera free man free man slave slave femal femal payment made courteous concess merci lord whoever transgress suffer pain punish
2,Al-Baqarah,2,179,Kuran,secur life law retali peopl reason may becom mind allah
2,Al-Baqarah,2,180,Kuran,prescrib death approach youif leav someth valuea made favour parent immedi famili fair oblig mind allah
2,Al-Baqarah,2,181,Kuran,whoever chang hear blame made chang inde allah
2,Al-Baqarah,2,182,Kuran,whoever suspect error injustic bring fair settlement among parti sin sure allah merci
2,Al-Baqarah,2,183,Kuran,believ fast prescrib youa youso perhap becom mind allah
2,Al-Baqarah,2,184,Kuran,fast prescrib number day compens made feed needi person everi day fast whoever volunt give better fast better knew
2,Al-Baqarah,2,185,Kuran,ramaan month quran reveal guid human clear proof guidanc standard distinguish right wrong whoever present month let fast whoever ill journey let fast equal number day ramaan allah intend eas hardship may complet prescrib period proclaim great allah guid perhap grate
2,Al-Baqarah,2,186,Kuran,servant ask prophet truli near respond one prayer call upon let respond obedi believ perhap guid right way
2,Al-Baqarah,2,187,Kuran,made permiss intim wive night preced fast spous garment may eat drink see light dawn break dark night complet fast nightfal intim spous medit mosqu limit set allah exceed allah make revel clear peopl may becom mind
2,Al-Baqarah,2,188,Kuran,consum one anoth wealth unjust deliber bribe author order devour portion other properti know sin
2,Al-Baqarah,2,189,Kuran,ask prophet phase moon say mean peopl determin time pilgrimag righteous enter hous back door rather righteous mind allah enter home proper door mind allah may success
2,Al-Baqarah,2,190,Kuran,fight caus allah wage war exceed limit allah like transgressor
2,Al-Baqarah,2,191,Kuran,kill wherev come upon far wors kill fight sacr mosqu unless attack fight themthat reward disbeliev
2,Al-Baqarah,2,192,Kuran,ceas sure allah merci
2,Al-Baqarah,2,193,Kuran,fight persecut persecut devot allah alon stop persecut let hostil except aggressor
2,Al-Baqarah,2,194,Kuran,retali sacr month offenc sacr month violat bring retali anyon attack retali manner mind allah know allah mind
2,Al-Baqarah,2,195,Kuran,spend caus allah let hand throw destruct withhold good allah certain love
2,Al-Baqarah,2,196,Kuran,complet pilgrimag minor pilgrimag allah prevent proceed offer whatev sacrifici anim afford shave head sacrifici anim reach destin ill scalp ailment requir shave compens either fast chariti sacrifici offer time peac may combin pilgrimag minor pilgrimag make sacrifici offer afford whoever afford offer let fast three day pilgrimag seven return homecomplet ten offer live near sacr hous mind allah know allah sever punish
2,Al-Baqarah,2,197,Kuran,commit pilgrimag made appoint month whoever commit perform pilgrimag let stay away intim relat foul languag argument pilgrimag whatev good allah fulli know take necessari provis journeysur best provis righteous mind peopl reason
2,Al-Baqarah,2,198,Kuran,blame seek bounti lord journey prais guid sure guidanc astray
2,Al-Baqarah,2,199,Kuran,go forth rest pilgrim seek allah forgiv sure allah merci
2,Al-Baqarah,2,200,Kuran,fulfil sacr rite prais allah use prais forefath islam even passion say lord grant us bounti world share hereaft
2,Al-Baqarah,2,201,Kuran,yet other say lord grant us good world hereaft protect us torment fire
2,Al-Baqarah,2,202,Kuran,receiv heaven reward good done sure allah swift reckon
2,Al-Baqarah,2,203,Kuran,rememb allah appoint day whoever depart swift second day sin neither stay behind till thirdseek addit reward long mind lord mind allah know gather
2,Al-Baqarah,2,204,Kuran,hypocrit impress view regard world affair open call upon allah wit heart yet worst adversari
2,Al-Baqarah,2,205,Kuran,leav strive throughout land spread mischief destroy crop cattl allah like mischief
2,Al-Baqarah,2,206,Kuran,said fear allah pride carri sin hell proper place evil place rest
2,Al-Baqarah,2,207,Kuran,would dedic live allah pleasur allah ever gracious servant
2,Al-Baqarah,2,208,Kuran,believ enter islam wholeheart follow satan footstep sure sworn enemi
2,Al-Baqarah,2,209,Kuran,falter receiv clear proof know allah inde almighti
2,Al-Baqarah,2,210,Kuran,wait allah come shade cloud along angel matter would settl allah matter return judgment
2,Al-Baqarah,2,211,Kuran,ask children israel mani clear sign given whoever trade allah favouraft receiv itfor disbelief know allah inde sever punish
2,Al-Baqarah,2,212,Kuran,life world made appeal disbeliev mock believ mind allah rank day judgment allah provid whoever will without limit
2,Al-Baqarah,2,213,Kuran,human one communiti believ lost faith allah rais prophet deliver good news warner reveal scriptur truth judg among peopl regard disput one disput scriptur except peopl receiv clear proof come themout jealousi allah grace guid believ truth regard disput allah guid whoever will straight path
2,Al-Baqarah,2,214,Kuran,think admit paradis without test like afflict suffer advers violent shaken even messeng believ cri allah help come inde allah help alway near
2,Al-Baqarah,2,215,Kuran,ask prophet way donat say whatev donat give parent relat orphan poor needi travel whatev good certain well known allah
2,Al-Baqarah,2,216,Kuran,fight made obligatori upon believ though dislik perhap dislik someth good like someth bad allah know know
2,Al-Baqarah,2,217,Kuran,
2,Al-Baqarah,2,218,Kuran,sure believ emigr struggl way allahthey hope allah merci allah merci
2,Al-Baqarah,2,219,Kuran,ask prophet intoxic gambl say great evil well benefit peoplebut evil outweigh benefit also ask prophet donat say whatev spare allah make revel clear believ perhap may reflect
2,Al-Baqarah,2,220,Kuran,upon world hereaft ask prophet concern orphan say improv condit best partner bond faith sure allah almighti
2,Al-Baqarah,2,221,Kuran,marri polytheist women believ believ better free polytheist even though may look pleasant marri women polytheist men believ believ better free polytheist even though may look pleasant invit fire allah invit paradis forgiv grace make revel clear peopl perhap mind
2,Al-Baqarah,2,222,Kuran,ask prophet menstruat say bewar harm keep away intercours wive month cycl purifi purifi may approach manner specifi allah sure allah love alway turn repent purifi
2,Al-Baqarah,2,223,Kuran,wive like farmland mind allah know meet give good news believ
2,Al-Baqarah,2,224,Kuran,use allah name oath excus good guard evil make peac peopl allah
2,Al-Baqarah,2,225,Kuran,allah hold account unintent oath intend heart allah forbear
2,Al-Baqarah,2,226,Kuran,swear intercours wive must wait four month chang mind allah certain merci
2,Al-Baqarah,2,227,Kuran,settl divorc allah inde
2,Al-Baqarah,2,228,Kuran,divorc women must wait three month cycl law conceal allah creat womb truli believ allah last day husband reserv right take back within period desir reconcili women right similar men equit although men degre respons allah almighti
2,Al-Baqarah,2,229,Kuran,divorc may retract twice husband must retain wife honour separ grace limit set allah transgress whoever transgress limit allah true wrongdoer
2,Al-Baqarah,2,230,Kuran,husband divorc wife three time law remarri marri anoth man divorc permiss reunit long feel abl maintain limit allah limit set allah make clear peopl knowledg
2,Al-Baqarah,2,231,Kuran,divorc women almost reach end wait period either retain honour let go honour retain harm take advantag whoever sure wrong soul take allah revel light rememb allah favour upon well book wisdom sent guidanc mind allah know allah perfect knowledg thing
2,Al-Baqarah,2,232,Kuran,divorc women reach end wait period prevent come honour agreement enjoin whoever faith allah last day purer dignifi allah know know
2,Al-Baqarah,2,233,Kuran,divorc mother breastfe offspr two whole year wish complet nurs child child father provid reason mainten cloth mother period one charg bear mother father made suffer child father heir oblig side decideaft mutual consult consentto wean child blame decid children nurs permiss long pay fair mind allah know allah
2,Al-Baqarah,2,234,Kuran,die leav widow behind let observ wait period four month ten day reach end period account decid reason manner allah
2,Al-Baqarah,2,235,Kuran,blame subt show interest divorc widow women hide intent heart allah know consid marriag make secret commit themyou show interest appropri commit bond marriag wait period expir know allah awar heart bewar know allah forbear
2,Al-Baqarah,2,236,Kuran,blame divorc women marriag consumm dowri settl give suitabl compensationth rich accord mean poor accord reason compens oblig
2,Al-Baqarah,2,237,Kuran,divorc consumm marriag decid dowri pay half dowri unless wife gracious waiv husband gracious pay full gracious closer righteous forget kind among sure allah
2,Al-Baqarah,2,238,Kuran,observ five obligatori prayersespeci middl prayerand stand true devot allah
2,Al-Baqarah,2,239,Kuran,danger pray foot ride safe take time rememb allah teach know
2,Al-Baqarah,2,240,Kuran,die leav widow bequeath year mainten without forc choos leav account reason decid allah almighti
2,Al-Baqarah,2,241,Kuran,reason provis must made divorc womena duti mind allah
2,Al-Baqarah,2,242,Kuran,allah make revel clear perhap understand
2,Al-Baqarah,2,243,Kuran,prophet seen fled home thousand fear death allah said die gave life sure allah ever bounti human peopl ungrat
2,Al-Baqarah,2,244,Kuran,fight caus allah know allah
2,Al-Baqarah,2,245,Kuran,lend allah good loan allah multipli mani time allah alon decreas increas wealth return
2,Al-Baqarah,2,246,Kuran,seen chief children israel mose said one prophet appoint us king fight caus allah said go cower order fight repli could refus fight caus allah driven home separ children order fight fled except allah perfect knowledg wrongdoer
2,Al-Baqarah,2,247,Kuran,prophet told allah appoint saul king protest king us deserv kingship bless vast rich repli allah chosen bless knowledg statur allah grant kingship whoever will allah
2,Al-Baqarah,2,248,Kuran,prophet told sign saul kingship ark come youcontain reassur carri angel sure sign truli believ
2,Al-Baqarah,2,249,Kuran,saul march forth armi caution allah test river whoever drink fill whoever tast itexcept sip hollow handsi definit drank fill except remain faith cross river said match goliath warrior believ certain would meet allah reason mani time small forc vanquish mighti armi allah allah alway steadfast
2,Al-Baqarah,2,250,Kuran,advanc face goliath warrior pray lord shower us persever make step firm give us victori disbeliev peopl
2,Al-Baqarah,2,251,Kuran,defeat allah david kill goliath allah bless david kingship wisdom taught will allah repel group peopl might anoth corrupt would domin earth allah gracious
2,Al-Baqarah,2,252,Kuran,allah revel recit prophet truth truli one messeng
2,Al-Baqarah,3,253,Kuran,chosen messeng other allah will succeed generat would fought among receiv clear proof differedsom believ other disbeliev yet allah will would fought one anoth allah will
2,Al-Baqarah,3,254,Kuran,believ donat provid arriv day bargain intercess disbeliev truli wrongdoer
2,Al-Baqarah,3,255,Kuran,allah god worthi worship except neither drowsi sleep overtak belong whatev heaven whatev earth could possibl interced without permiss fulli know ahead behind one grasp knowledgeexcept will reveal seat
2,Al-Baqarah,3,256,Kuran,let compuls religion truth stand clear falsehood whoever renounc fals god believ allah certain grasp firmest unfail allah
2,Al-Baqarah,3,257,Kuran,allah guardian believersh bring dark light disbeliev guardian fals god lead light dark resid fire forev
